,Edad,Sexo,Número_hijos,Nivel_educación,Estado_civil,Renta,Estado_laboral,Conocimiento_financiero,Patrimonio
98,56,M,3,College,Married,$120K +,Trabajando,Sí,$380K - $1.5M
99,47,M,2,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
100,49,F,3,College,Single,0,Desempleado,Sí,$-30K - $10K
101,41,F,3,Unknown,Married,0,Desempleado,No,$-30K - $10K
102,53,M,3,Graduate,Married,$120K +,Trabajando,Sí,$380K - $1.5M
103,44,F,2,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
104,44,M,3,High School,Unknown,$60K - $80K,Trabajando,No,$90K - $170K
105,43,F,4,Post-Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
106,53,M,2,Post-Graduate,Single,$120K +,Trabajando,No,$380K - $1.5M
107,44,M,1,Uneducated,Married,$60K - $80K,Trabajando,No,$90K - $170K
108,62,F,1,Unknown,Married,Less than $40K,Trabajando,No,$10K - $50K
109,54,M,4,Unknown,Divorced,$120K +,Trabajando,No,$380K - $1.5M
110,57,M,4,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
111,42,M,3,Unknown,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
112,42,M,4,High School,Divorced,$60K - $80K,Trabajando,Sí,$90K - $170K
113,54,F,0,Uneducated,Married,Less than $40K,Trabajando,Sí,$10K - $50K
114,48,M,3,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
115,49,M,1,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
116,52,M,3,High School,Unknown,$80K - $120K,Trabajando,Sí,$170K - $380K
117,50,M,3,High School,Single,$80K - $120K,Trabajando,No,$170K - $380K
118,49,M,1,Doctorate,Married,$60K - $80K,Trabajando,No,$90K - $170K
119,53,F,2,High School,Married,Less than $40K,Trabajando,Sí,$10K - $50K
120,50,M,2,Graduate,Single,$120K +,Trabajando,No,$380K - $1.5M
121,55,F,1,Doctorate,Married,Less than $40K,Trabajando,No,$10K - $50K
122,53,M,1,High School,Married,$80K - $120K,Trabajando,No,$170K - $380K
123,47,F,3,High School,Single,$40K - $60K,Trabajando,No,$50K - $90K
124,55,M,2,College,Single,$120K +,Trabajando,No,$380K - $1.5M
125,47,M,3,Graduate,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
126,58,M,4,Graduate,Single,$120K +,Trabajando,Sí,$380K - $1.5M
127,53,M,2,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
128,52,M,2,High School,Single,$40K - $60K,Trabajando,No,$50K - $90K
129,50,F,1,Uneducated,Unknown,Less than $40K,Trabajando,No,$10K - $50K
130,42,F,1,Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
131,43,M,4,Unknown,Married,$40K - $60K,Trabajando,No,$50K - $90K
132,57,M,4,Graduate,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
133,52,M,1,Graduate,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
134,47,M,2,Doctorate,Single,Less than $40K,Trabajando,Sí,$10K - $50K
135,44,F,3,Graduate,Single,$40K - $60K,Trabajando,Sí,$50K - $90K
136,53,M,2,High School,Divorced,$60K - $80K,Trabajando,Sí,$90K - $170K
137,45,M,4,College,Divorced,$60K - $80K,Trabajando,Sí,$90K - $170K
138,63,F,1,College,Married,0,Desempleado,No,$-30K - $10K
139,39,F,2,Post-Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
140,48,F,5,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
141,51,M,1,Unknown,Single,$120K +,Trabajando,No,$380K - $1.5M
142,54,M,4,Graduate,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
143,59,F,1,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
144,59,M,1,College,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
145,48,F,4,Uneducated,Married,Less than $40K,Trabajando,No,$10K - $50K
146,41,F,2,Graduate,Single,Less than $40K,Trabajando,Sí,$10K - $50K
147,55,M,2,Graduate,Married,$120K +,Trabajando,Sí,$380K - $1.5M
148,47,F,4,Graduate,Married,0,Desempleado,Sí,$-30K - $10K
149,41,M,2,High School,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
150,40,M,3,High School,Single,$80K - $120K,Trabajando,No,$170K - $380K
151,68,M,1,Graduate,Married,0,Desempleado,Sí,$-30K - $10K
152,50,F,1,Graduate,Single,$40K - $60K,Trabajando,No,$50K - $90K
153,47,M,4,Uneducated,Single,$60K - $80K,Trabajando,No,$90K - $170K
154,53,F,1,College,Married,Less than $40K,Trabajando,No,$10K - $50K
155,42,F,5,Unknown,Married,$40K - $60K,Trabajando,No,$50K - $90K
156,48,F,4,High School,Single,$40K - $60K,Trabajando,No,$50K - $90K
157,49,M,1,Doctorate,Married,$120K +,Trabajando,Sí,$380K - $1.5M
158,44,F,2,Uneducated,Married,0,Desempleado,Sí,$-30K - $10K
159,43,F,4,Graduate,Divorced,Less than $40K,Trabajando,No,$10K - $50K
160,56,M,0,High School,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
161,59,F,1,College,Single,0,Desempleado,No,$-30K - $10K
162,46,M,1,Uneducated,Married,$60K - $80K,Trabajando,No,$90K - $170K
163,47,F,4,Unknown,Divorced,Less than $40K,Trabajando,No,$10K - $50K
164,50,F,4,Uneducated,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
165,51,F,3,Uneducated,Married,Less than $40K,Trabajando,Sí,$10K - $50K
166,47,F,3,Uneducated,Married,Less than $40K,Trabajando,No,$10K - $50K
167,58,F,4,Uneducated,Married,Less than $40K,Trabajando,Sí,$10K - $50K
168,46,M,5,Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
169,53,M,3,High School,Married,$60K - $80K,Trabajando,No,$90K - $170K
170,45,F,4,Uneducated,Divorced,0,Desempleado,No,$-30K - $10K
171,52,F,1,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
172,53,M,2,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
173,50,M,2,High School,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
174,41,F,3,High School,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
175,45,F,5,Graduate,Divorced,$40K - $60K,Trabajando,No,$50K - $90K
176,53,M,3,Uneducated,Married,$80K - $120K,Trabajando,No,$170K - $380K
177,67,F,1,Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
178,57,F,2,Uneducated,Single,$40K - $60K,Trabajando,Sí,$50K - $90K
179,59,F,1,Uneducated,Married,$40K - $60K,Trabajando,No,$50K - $90K
180,45,M,2,Uneducated,Married,$40K - $60K,Trabajando,No,$50K - $90K
181,51,M,3,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
182,59,F,1,Uneducated,Married,Less than $40K,Trabajando,No,$10K - $50K
183,53,M,1,Graduate,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
184,47,M,3,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
185,49,F,3,Uneducated,Single,0,Desempleado,Sí,$-30K - $10K
186,49,M,3,Post-Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
187,60,F,0,College,Single,Less than $40K,Trabajando,Sí,$10K - $50K
188,50,F,2,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
189,41,F,2,Post-Graduate,Married,0,Desempleado,No,$-30K - $10K
190,57,M,1,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
191,43,M,4,Graduate,Unknown,$80K - $120K,Trabajando,No,$170K - $380K
192,57,F,3,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
193,54,M,3,Doctorate,Married,$120K +,Trabajando,Sí,$380K - $1.5M
194,51,F,5,Post-Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
195,47,F,3,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
196,41,M,0,High School,Unknown,$120K +,Trabajando,Sí,$380K - $1.5M
197,53,M,3,Uneducated,Married,$80K - $120K,Trabajando,No,$170K - $380K
198,68,M,0,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
199,59,M,1,College,Married,$60K - $80K,Trabajando,No,$90K - $170K
200,48,M,4,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
201,44,M,5,Graduate,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
202,48,M,3,College,Married,$80K - $120K,Trabajando,No,$170K - $380K
203,47,M,4,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
204,47,M,2,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
205,43,F,1,High School,Divorced,Less than $40K,Trabajando,No,$10K - $50K
206,55,F,2,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
207,59,M,2,Post-Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
208,63,M,1,Graduate,Married,$40K - $60K,Trabajando,No,$50K - $90K
209,58,M,2,College,Married,$120K +,Trabajando,No,$380K - $1.5M
210,53,F,2,High School,Married,Less than $40K,Trabajando,Sí,$10K - $50K
211,59,M,0,Unknown,Unknown,$80K - $120K,Trabajando,No,$170K - $380K
212,52,M,3,Graduate,Married,$120K +,Trabajando,Sí,$380K - $1.5M
213,48,M,3,High School,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
214,43,M,4,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
215,48,M,2,College,Single,Less than $40K,Trabajando,Sí,$10K - $50K
216,43,F,4,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
217,44,M,4,Unknown,Married,$60K - $80K,Trabajando,No,$90K - $170K
218,41,M,3,High School,Married,$80K - $120K,Trabajando,No,$170K - $380K
219,44,F,3,Uneducated,Divorced,Less than $40K,Trabajando,Sí,$10K - $50K
220,50,M,2,Unknown,Single,$40K - $60K,Trabajando,No,$50K - $90K
221,60,F,1,Uneducated,Married,Less than $40K,Trabajando,No,$10K - $50K
222,44,M,4,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
223,48,F,3,Graduate,Divorced,$40K - $60K,Trabajando,No,$50K - $90K
224,44,F,2,Graduate,Divorced,Less than $40K,Trabajando,No,$10K - $50K
225,41,M,2,High School,Single,$80K - $120K,Trabajando,No,$170K - $380K
226,45,M,3,College,Single,$60K - $80K,Trabajando,No,$90K - $170K
227,47,F,2,Uneducated,Divorced,Less than $40K,Trabajando,No,$10K - $50K
228,51,F,2,Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
229,51,M,2,Graduate,Married,$120K +,Trabajando,No,$380K - $1.5M
230,60,F,1,Uneducated,Married,$40K - $60K,Trabajando,No,$50K - $90K
231,57,M,2,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
232,41,M,5,Graduate,Single,$120K +,Trabajando,Sí,$380K - $1.5M
233,44,M,3,Post-Graduate,Divorced,$80K - $120K,Trabajando,No,$170K - $380K
234,43,M,1,College,Single,$60K - $80K,Trabajando,No,$90K - $170K
235,55,M,2,College,Married,$60K - $80K,Trabajando,No,$90K - $170K
236,52,M,1,Uneducated,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
237,44,M,3,Graduate,Unknown,$80K - $120K,Trabajando,No,$170K - $380K
238,41,M,2,Uneducated,Married,$40K - $60K,Trabajando,No,$50K - $90K
239,44,M,4,Unknown,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
240,53,F,2,Unknown,Married,Less than $40K,Trabajando,Sí,$10K - $50K
241,39,M,2,High School,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
242,49,M,5,College,Married,$40K - $60K,Trabajando,No,$50K - $90K
243,45,F,2,College,Married,Less than $40K,Trabajando,No,$10K - $50K
244,54,M,2,Graduate,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
245,49,M,3,Uneducated,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
246,46,F,3,Doctorate,Single,0,Desempleado,No,$-30K - $10K
247,46,M,4,High School,Married,$120K +,Trabajando,No,$380K - $1.5M
248,47,M,3,Graduate,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
249,44,M,2,Doctorate,Single,$60K - $80K,Trabajando,No,$90K - $170K
250,50,M,3,Post-Graduate,Single,$120K +,Trabajando,Sí,$380K - $1.5M
251,73,M,0,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
252,56,M,3,Unknown,Unknown,$40K - $60K,Trabajando,Sí,$50K - $90K
253,59,M,0,High School,Single,$40K - $60K,Trabajando,No,$50K - $90K
254,70,M,0,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
255,55,F,2,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
256,43,M,4,Unknown,Single,$60K - $80K,Trabajando,No,$90K - $170K
257,45,M,1,Uneducated,Single,$120K +,Trabajando,No,$380K - $1.5M
258,45,F,2,Uneducated,Single,$40K - $60K,Trabajando,Sí,$50K - $90K
259,40,M,1,Graduate,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
260,36,M,2,College,Unknown,$80K - $120K,Trabajando,No,$170K - $380K
261,59,F,0,Post-Graduate,Married,$40K - $60K,Trabajando,No,$50K - $90K
262,43,M,4,Unknown,Married,$60K - $80K,Trabajando,No,$90K - $170K
263,46,F,1,Unknown,Married,Less than $40K,Trabajando,No,$10K - $50K
264,41,M,2,Uneducated,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
265,51,F,2,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
266,51,F,3,Unknown,Unknown,Less than $40K,Trabajando,Sí,$10K - $50K
267,43,F,4,Graduate,Divorced,0,Desempleado,Sí,$-30K - $10K
268,64,F,0,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
269,54,M,5,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
270,48,M,3,Unknown,Single,$40K - $60K,Trabajando,No,$50K - $90K
271,40,M,2,Uneducated,Divorced,$60K - $80K,Trabajando,Sí,$90K - $170K
272,57,M,0,Uneducated,Married,$40K - $60K,Trabajando,No,$50K - $90K
273,45,M,4,Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
274,41,M,3,High School,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
275,42,F,4,Uneducated,Married,Less than $40K,Trabajando,No,$10K - $50K
276,45,M,2,Graduate,Single,$60K - $80K,Trabajando,No,$90K - $170K
277,42,F,4,Uneducated,Married,Less than $40K,Trabajando,Sí,$10K - $50K
278,47,M,4,Uneducated,Divorced,$80K - $120K,Trabajando,Sí,$170K - $380K
279,48,F,4,High School,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
280,43,M,1,Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
281,41,M,4,High School,Unknown,$80K - $120K,Trabajando,Sí,$170K - $380K
282,54,F,1,Uneducated,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
283,54,F,2,High School,Married,0,Desempleado,No,$-30K - $10K
284,61,M,0,Graduate,Married,$40K - $60K,Trabajando,No,$50K - $90K
285,61,M,0,Uneducated,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
286,48,M,2,High School,Married,$120K +,Trabajando,Sí,$380K - $1.5M
287,45,F,4,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
288,54,F,4,Graduate,Married,0,Desempleado,Sí,$-30K - $10K
289,54,F,3,Doctorate,Married,0,Desempleado,No,$-30K - $10K
290,44,M,3,Graduate,Single,$60K - $80K,Trabajando,No,$90K - $170K
291,50,F,4,Doctorate,Single,0,Desempleado,Sí,$-30K - $10K
292,55,M,2,Doctorate,Married,$60K - $80K,Trabajando,No,$90K - $170K
293,48,M,2,Graduate,Unknown,$40K - $60K,Trabajando,Sí,$50K - $90K
294,45,M,2,College,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
295,60,M,0,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
296,55,M,2,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
297,62,F,0,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
298,38,F,1,High School,Unknown,Less than $40K,Trabajando,Sí,$10K - $50K
299,46,M,3,High School,Single,$40K - $60K,Trabajando,No,$50K - $90K
300,50,M,0,High School,Single,$120K +,Trabajando,No,$380K - $1.5M
301,45,M,2,Uneducated,Married,$60K - $80K,Trabajando,No,$90K - $170K
302,47,M,3,Post-Graduate,Divorced,$60K - $80K,Trabajando,No,$90K - $170K
303,48,M,4,College,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
304,35,M,3,Uneducated,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
305,51,M,2,Graduate,Married,$120K +,Trabajando,No,$380K - $1.5M
306,36,F,3,High School,Married,0,Desempleado,No,$-30K - $10K
307,47,M,4,Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
308,52,M,2,Graduate,Single,$120K +,Trabajando,No,$380K - $1.5M
309,43,F,4,Uneducated,Married,Less than $40K,Trabajando,No,$10K - $50K
310,63,M,2,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
311,61,M,0,Graduate,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
312,53,M,2,Uneducated,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
313,53,F,3,Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
314,57,M,3,Graduate,Married,$120K +,Trabajando,No,$380K - $1.5M
315,38,F,2,Graduate,Single,0,Desempleado,Sí,$-30K - $10K
316,53,M,3,High School,Married,$60K - $80K,Trabajando,No,$90K - $170K
317,63,F,0,Unknown,Married,Less than $40K,Trabajando,Sí,$10K - $50K
318,49,F,4,High School,Married,Less than $40K,Trabajando,Sí,$10K - $50K
319,45,M,2,High School,Married,$80K - $120K,Trabajando,No,$170K - $380K
320,67,M,0,Graduate,Married,$40K - $60K,Trabajando,No,$50K - $90K
321,48,M,3,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
322,51,F,2,Uneducated,Divorced,Less than $40K,Trabajando,Sí,$10K - $50K
323,52,M,2,High School,Single,$80K - $120K,Trabajando,No,$170K - $380K
324,55,F,2,Uneducated,Married,0,Desempleado,No,$-30K - $10K
325,34,M,3,High School,Married,$60K - $80K,Trabajando,No,$90K - $170K
326,56,M,1,Uneducated,Married,$120K +,Trabajando,No,$380K - $1.5M
327,44,F,2,Post-Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
328,47,M,3,Post-Graduate,Unknown,$80K - $120K,Trabajando,No,$170K - $380K
329,46,F,3,Unknown,Married,Less than $40K,Trabajando,No,$10K - $50K
330,43,F,3,Graduate,Single,$40K - $60K,Trabajando,No,$50K - $90K
331,50,F,1,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
332,38,F,4,Uneducated,Single,Less than $40K,Trabajando,No,$10K - $50K
333,53,F,1,Graduate,Single,Less than $40K,Trabajando,Sí,$10K - $50K
334,43,M,5,Graduate,Divorced,$120K +,Trabajando,No,$380K - $1.5M
335,53,M,1,High School,Married,$120K +,Trabajando,Sí,$380K - $1.5M
336,56,F,1,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
337,54,M,2,Unknown,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
338,57,F,3,High School,Married,Less than $40K,Trabajando,Sí,$10K - $50K
339,62,M,1,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
340,46,F,4,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
341,49,M,2,Uneducated,Married,$60K - $80K,Trabajando,No,$90K - $170K
342,52,M,3,Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
343,58,M,1,Uneducated,Married,$40K - $60K,Trabajando,No,$50K - $90K
344,54,M,0,High School,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
345,49,M,1,Graduate,Married,$120K +,Trabajando,No,$380K - $1.5M
346,58,F,3,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
